row,headword,sense_index,pos,etymology,definition,refs,other_refs
1,אֲבַדּוֹן,1,,,"n.f.? abstr. nearly = n.pr. (place of) Destruction, Ruin, ʾAbaddôn (cf. ܐܰܒܕܳܢܳܐ [אבדנא] 𝔊 etc.)—אֲבַדּוֹן (+ 4 times); abbrev. אבדה Kt אֲבַדּוֹ(ן) Qr †.—Place of ruin in Sheʾôl for lost or ruined dead, as development of earlier distinction of condition in Sheʾôl (v. ). Only in WisdLt; ‖ שׁאול; ‖ מות; ‖ קבר.",Proverbs 27:20; Job 28:22; Job 26:6; Proverbs 27:20; Job 31:12; Job 26:6; Proverbs 15:11; Proverbs 27:20; Job 28:22; Psalms 88:12,"BDB, שְׁאוֹל"
2,אֲבִי־עַלְבוֹן,1,masculine,,"a hero of David read אֲבִיאֵל so 𝔊, cf. DrS (WeS אבי־בעל (v. sub ); otherwise KloS.",II Samuel 23:31; I Chronicles 11:32,"BDB, אֲבִיאֵל"
3,אֲבִיאֵל,1,masculine,"Ēl is (my) father, cf. אביהו & Ph. אבבעל (fem.), also אביבעל; & אבנבעל our father etc.; Abi-ba’al KAT2 355; v. RSSem 45. NöZMG 1888, 480 makes אבי here, & in אביהו etc., cstr. but this seems unlikely; cf. also אליאב etc.; views differ much as to these n.pr. and uniform interpr. is impossible. Cf. in gen. Ol§ 277 f",,,
4,אֲבִיגַ֫יִל,1,feminine,"my father is joy (?) orig. אבגל? (אֲבִגֵל?) cf. MT infr. & NöZMG 1883, 537 Anm2",,,
5,אֲבִידָן,1,masculine,my father is judge,a prince of Benj..,Numbers 1:11; Numbers 2:22; Numbers 7:60; Numbers 7:65; Numbers 10:24,
6,אֲבִיָּ֫הוּ,1,masculine,,"& f. (Yah(u) is (my) father)—so †, = אֲבִיָּם †, (×2), (𝔊 Ἀβιου, Ἀβια [Abiou, Abia]); = אֲבִי † (𝔊 Ἀβου, Ἀβουθ [Abou, Abouth]); = אֲבִיָּה + 22 times—",II Chronicles 13:20; II Chronicles 13:21; I Kings 14:31; I Kings 15:1; I Kings 15:7; I Kings 15:8; II Kings 18:2; I Samuel 8:2,
7,אֲבִיהוּא,1,masculine,he is father,a son of Aaron; + 7 times.,Exodus 6:24; Exodus 24:1; Exodus 24:9; Exodus 28:1; Leviticus 10:1,
8,אֲבִיחַ֫יִל,1,masculine,,"& f. (my father is might, Sab. אבחיל HalMA 234)—prob. = אֲבִיהַיִל, אֲבִיהָ֑יִל —",II Chronicles 11:18; I Chronicles 2:29,
9,אֲבִיטוּב,1,masculine,my father is goodness,"son of Shaharaim, a Benjamite.",I Chronicles 8:11,
10,אֲבִיטָ֑ל,1,feminine,my father is (the) dew,a wife of David —אֲבִיָּם v..,II Chronicles 3:4; I Chronicles 3:3,"BDB, אֲבִיָּ֫הוּ"
11,אֲבִימָאֵל,1,masculine,a father is Ēl; South-Arabic name,"son of Joktan. Cf. Sab. אבמעתֿתר, Abmi ʿAṯtar a father is ʿAṯtar ([עשׁתר] v. ) HalM 86, DHMZMG 1883, 18.",Genesis 10:28; I Chronicles 1:22,"BDB, עַשְׁתֹּ֫רֶת"
