rank,normalized_name,yerushalmi_count,yerushalmi_pct,bavli_term,bavli_count,bavli_pct,wikipedia_he,hebrew_term,wikidata_id,match_type,match_score,match_note,yerushalmi_variant_names
1,R' Yoḥanan,3593,8.4173,R' Yoḥanan,3687,5.2011,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%99%D7%95%D7%97%D7%A0%D7%9F,רבי יוחנן,Q1397565,exact,100,,Rebbi Joḥanan | Rebbi Yoḥanan | R. Joḥanan | Rebbi [Joḥanan] | R. Yoḥanan
2,R' Yose,2768,6.4846,R' Yosei,1592,2.2458,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%99%D7%95%D7%A1%D7%99,רבי יוסי,Q982075,exact,100,,Rebbi Yose | R. Yose
3,R' Yehudah,1819,4.2614,Rav Yehuda,1672,2.3586,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%99%D7%94%D7%95%D7%93%D7%94,רב יהודה,Q359777,exact,100,,Rebbi Jehudah | Rebbi Yehudah | Rebbi Judah | Rebbi Jehuda | R. Jehudah
4,R' Ze'ira,1649,3.8631,R' Zeira,668,0.9423,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%96%D7%99%D7%A8%D7%90,רבי זירא,Q7296294,exact,100,,Rebbi Zeïra | Rebbi Ze‘ira | Rebbi Zeˋira | Rebbi Ze`ira | Rebbi Zeїra | R. Zeïra | Rebbi Ze'ira | Rebbi Zeīra | Rebbi Zeˋirah | R. Zeˋira
5,R' Elazar,1325,3.1041,R' Elazar,1366,1.9270,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%90%D7%9C%D7%A2%D7%96%D7%A8%20%D7%91%D7%9F%20%D7%A9%D7%9E%D7%95%D7%A2,רבי אלעזר בן שמוע,Q739520,exact,100,,Rebbi Eleazar | Rebbi Elazar | R. Eleazar
6,R' Meir,1313,3.0759,R' Meir,2086,2.9426,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%9E%D7%90%D7%99%D7%A8,רבי מאיר,Q1621623,exact,100,,Rebbi Meïr | Rebbi Meїr | Rebbi Meir | Rebbi Meĩr | Rebbi Ṃeïr | Rebbi Meīr
7,R' Shimon,1308,3.0642,R' Shimon,1867,2.6337,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%A9%D7%9E%D7%A2%D7%95%D7%9F%20%D7%91%D7%A8%20%D7%99%D7%95%D7%97%D7%90%D7%99,רבי שמעון בר יוחאי,Q557405,exact,100,,Rebbi Simeon | Rebbi Simon | R. Simeon
8,R' Shimon ben Lakish,1185,2.7761,R' Shimon ben Lakish,246,0.3470,https://he.wikipedia.org/wiki/%D7%A9%D7%9E%D7%A2%D7%95%D7%9F_%D7%91%D7%9F_%D7%9C%D7%A7%D7%99%D7%A9,שמעון בן לקיש,Q1391489,exact,100,,Rebbi Simeon ben Laqish | R. Simeon ben Laqish | Rebbi Simon ben Laqish
9,R' Eliezer,907,2.1248,R' Eliezer,1661,2.3431,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%90%D7%9C%D7%99%D7%A2%D7%96%D7%A8%20%D7%91%D7%9F%20%D7%94%D7%95%D7%A8%D7%A7%D7%A0%D7%95%D7%A1,רבי אליעזר בן הורקנוס,Q1329310,exact,100,,Rebbi Eliezer | Rebbi (Eleazar) | Rebbi (Eleazar) [Eliezer]
10,R' Akiva,787,1.8437,R' Akiva,1503,2.1202,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%A2%D7%A7%D7%99%D7%91%D7%90,רבי עקיבא,Q310821,exact,100,,Rebbi Aqiba
