rank,name,normalized_name,count,example_1,example_2,example_3
1,Rebbi Joḥanan,R' Yoḥanan,3426,Berakhot 2:4.15,Berakhot 2:5.4,Berakhot 2:5.9
2,Rebbi Yose,R' Yose,2592,Berakhot 1:1.2,Berakhot 1:1.3,Berakhot 1:1.14
3,Rebbi Jehudah,R' Yehudah,1441,Peah 1:1.39,Peah 1:3.1,Peah 2:1.10
4,Rebbi Eleazar,R' Elazar,1299,Berakhot 1:3.3,Berakhot 1:5.5,Berakhot 2:1.14
5,Rebbi Simeon ben Laqish,R' Shimon ben Lakish,1181,Berakhot 1:1.25,Berakhot 1:1.27,Berakhot 1:5.4
6,Rebbi Meïr,R' Meir,951,Berakhot 1:1.32,Berakhot 1:1.33,Berakhot 1:2.3
7,Rebbi Simeon,R' Shimon,943,Berakhot 1:1.31,Berakhot 1:1.35,Berakhot 1:5.14
8,Rebbi Eliezer,R' Eliezer,769,Berakhot 1:1.1,Berakhot 1:1.37,Berakhot 1:2.1
9,Rebbi Mana,R' Mana,759,Berakhot 1:1.15,Berakhot 1:1.28,Berakhot 1:2.8
10,Rebbi Abbahu,R' Abbahu,757,Berakhot 2:1.13,Berakhot 2:3.8,Berakhot 2:3.9
11,Rebbi Jeremiah,R' Yirmeyah,719,Berakhot 1:5.14,Berakhot 1:5.15,Berakhot 1:5.18
12,Rebbi Ḥiyya,R' Ḥiyya,692,Berakhot 1:1.2,Berakhot 1:1.21,Berakhot 1:5.12
13,Rebbi Aqiba,R' Akiva,690,Berakhot 1:1.32,Berakhot 1:1.34,Berakhot 1:2.6
14,Rebbi Jonah,R' Yonah,687,Berakhot 1:2.7,Berakhot 2:1.20,Berakhot 2:3.11
15,Rebbi Abba,R' Abba,659,Berakhot 1:1.16,Berakhot 1:1.27,Berakhot 1:2.8
16,Rebbi Yose ben Rebbi Abun,R' Yose ben R' Abun,562,Berakhot 1:1.9,Berakhot 1:1.30,Berakhot 3:5.8
17,Rebbi Joshua ben Levi,R' Yehoshua ben Levi,536,Berakhot 1:1.30,Berakhot 1:5.2,Berakhot 1:5.8
18,Rebbi Ḥanina,R' Ḥanina,529,Berakhot 1:1.12,Berakhot 1:1.13,Berakhot 1:1.22
19,Rebbi Zeïra,R' Ze'ira,453,Berakhot 1:1.4,Berakhot 1:1.20,Berakhot 1:1.29
20,Rebbi Aḥa,R' Aḥa,442,Berakhot 1:1.15,Berakhot 1:1.29,Berakhot 1:2.8
21,Rebbi Ze‘ira,R' Ze'ira,442,Shabbat 14:4.5,Yevamot 1:1.9,Yevamot 1:1.11
22,Rebbi Jacob bar Aḥa,R' Ya'akov bar Aḥa,413,Berakhot 2:3.14,Berakhot 2:5.8,Berakhot 2:5.9
23,Rebbi Ismael,R' Yishmael,384,Berakhot 1:1.16,Berakhot 1:3.3,Berakhot 1:4.3
24,Rebbi Yasa,R' Yasa,379,Berakhot 1:1.29,Berakhot 2:1.11,Berakhot 2:4.15
25,Rebbi Zeˋira,R' Ze'ira,374,Shabbat 1:1.7,Shabbat 1:1.14,Shabbat 1:1.15
26,Rebbi Immi,R' Immi,367,Berakhot 1:1.30,Peah 1:1.2,Peah 3:7.2
27,Rebbi Joshua,R' Yehoshua,348,Berakhot 1:1.24,Berakhot 1:2.7,Berakhot 2:9.3
28,Rebbi Yannai,R' Yannai,313,Berakhot 2:3.3,Berakhot 2:3.5,Berakhot 2:6.5
29,Rebbi Ze`ira,R' Ze'ira,306,Eruvin 5:8.3,Eruvin 6:5.2,Eruvin 6:8.3
30,Rebbi Hoshaia,R' Hoshaya,288,Berakhot 4:6.7,Berakhot 6:8.2,Peah 1:1.8
31,Rav Huna,Rav Huna,273,Berakhot 3:4.5,Berakhot 3:5.8,Berakhot 5:3.4
32,Rabban Simeon ben Gamliel,Rabban Shimon ben Gamliel,263,Berakhot 3:1.10,Berakhot 3:5.10,Berakhot 7:1.8
33,Rebbi Hila,R' Hila,253,Demai 6:8.9,Kilayim 8:1.4,Sheviit 6:3.4
34,Rebbi Ḥiyya bar Abba,R' Ḥiyya bar Abba,245,Berakhot 1:5.16,Berakhot 2:3.6,Berakhot 2:4.10
35,Rabban Gamliel,Rabban Gamliel,242,Berakhot 1:1.1,Berakhot 1:1.31,Berakhot 1:1.32
36,Rebbi Yudan,R' Yudan,238,Berakhot 1:2.9,Berakhot 1:5.14,Berakhot 1:5.22
37,Rebbi Ḥaggai,R' Ḥaggai,220,Berakhot 2:4.6,Berakhot 2:6.2,Berakhot 2:6.5
38,Rav Ḥisda,Rav Ḥisda,218,Berakhot 1:2.4,Berakhot 2:1.11,Berakhot 2:4.4
